condition,image_index,key_press,response_time,response_corr,stimulus_side,prioritization_cue,n200lat
1.0,5.0,1.0,0.86644942715975,1.0,0,74,0.1900390625
1.0,6.0,1.0,1.64950241699717,1.0,1,75,0.165625
1.0,29.0,2.0,0.373233867817362,1.0,1,75,0.128515625
4.0,45.0,1.0,0.504804615059584,1.0,1,76,0.1626953125
4.0,64.0,2.0,0.386772048414969,1.0,1,76,0.2046875
2.0,16.0,1.0,0.628993954396719,1.0,1,76,0.09921875
4.0,56.0,2.0,0.464978098993015,1.0,1,76,0.159765625
3.0,58.0,2.0,0.570265839853164,1.0,1,75,0.2173828125
2.0,1.0,1.0,0.513288629041199,1.0,1,76,0.183203125
4.0,39.0,1.0,0.443550152383978,1.0,1,76,0.09921875
4.0,42.0,2.0,0.826185475624698,0.0,0,76,0.09921875
1.0,28.0,2.0,1.90479345184121,1.0,0,74,0.09921875
3.0,44.0,1.0,0.603757429498728,1.0,1,75,0.1841796875
3.0,42.0,1.0,0.548394852529782,1.0,1,75,0.1685546875
3.0,38.0,1.0,0.359870457400575,1.0,1,75,0.1744140625
2.0,34.0,2.0,0.531789702570677,1.0,1,76,0.214453125
2.0,30.0,2.0,0.368899045888611,1.0,1,76,0.1607421875
2.0,17.0,1.0,0.391330609909346,1.0,0,76,0.15390625
4.0,51.0,1.0,0.857901364614918,1.0,1,76,0.1841796875
1.0,7.0,1.0,0.791882553583491,1.0,0,74,0.09921875
2.0,29.0,2.0,1.00390178507041,1.0,1,76,0.163671875
1.0,3.0,1.0,1.7744756347256,1.0,1,75,0.2486328125
2.0,7.0,1.0,0.357450765652175,1.0,1,76,0.206640625
4.0,72.0,2.0,0.80221539762897,1.0,0,76,0.1705078125
1.0,35.0,2.0,0.485796059162567,1.0,1,75,0.148046875
2.0,3.0,1.0,1.40074896067836,1.0,1,76,0.2447265625
4.0,44.0,1.0,0.491354207664699,1.0,0,76,0.1734375
1.0,34.0,2.0,0.426783313637316,1.0,0,74,0.13828125
1.0,14.0,2.0,0.761718113174538,0.0,1,75,0.24375
2.0,20.0,2.0,0.471558021619785,1.0,1,76,0.12265625
3.0,64.0,2.0,0.394972249934654,1.0,1,75,0.1353515625
4.0,63.0,2.0,0.400077453383346,1.0,0,76,0.171484375
2.0,9.0,1.0,0.827942554328729,1.0,1,76,0.09921875
4.0,41.0,1.0,0.696231889935916,1.0,0,76,0.1275390625
3.0,49.0,1.0,0.607007035789138,1.0,0,74,0.175390625
3.0,55.0,2.0,0.687028026222833,1.0,1,75,0.1998046875
4.0,47.0,2.0,1.08501793280175,0.0,0,76,0.1587890625
3.0,40.0,2.0,0.566422478199456,0.0,0,74,0.1470703125
1.0,17.0,1.0,0.490140051499111,1.0,1,75,0.09921875
4.0,50.0,1.0,0.292926057047225,1.0,1,76,0.230078125
3.0,56.0,2.0,1.05516468919814,1.0,1,75,0.1470703125
4.0,48.0,1.0,1.41328799213807,1.0,1,76,0.1646484375
2.0,2.0,1.0,0.352994367388419,1.0,0,76,0.15390625
4.0,53.0,1.0,0.388613275447824,1.0,0,76,0.1470703125
2.0,31.0,2.0,0.425126542188991,1.0,1,76,0.1626953125
2.0,15.0,1.0,1.88294078791841,1.0,1,76,0.1255859375
1.0,1.0,1.0,0.484851295575027,1.0,0,74,0.1021484375
4.0,52.0,1.0,1.06367134806987,1.0,1,76,0.1529296875
3.0,72.0,2.0,0.466312995558837,1.0,0,74,0.1451171875
3.0,37.0,1.0,0.588072198932423,1.0,0,74,0.1607421875
2.0,13.0,1.0,1.11928216795877,1.0,1,76,0.09921875
3.0,50.0,1.0,0.751621808954042,1.0,0,74,0.1177734375
3.0,60.0,2.0,0.547746388187079,1.0,0,74,0.18515625
3.0,57.0,2.0,0.404566224235168,1.0,0,74,0.09921875
2.0,18.0,1.0,0.698709131846954,1.0,0,76,0.120703125
2.0,27.0,2.0,0.507620602321367,1.0,1,76,0.09921875
2.0,35.0,2.0,0.497502516513123,1.0,0,76,0.155859375
3.0,62.0,2.0,0.498278291805946,1.0,1,75,0.198828125
1.0,8.0,1.0,0.455520650835751,1.0,1,75,0.1392578125
2.0,14.0,1.0,0.520465551257075,1.0,0,76,0.1744140625
2.0,28.0,2.0,0.391952204903646,1.0,0,76,0.1802734375
4.0,43.0,1.0,0.74564334175102,1.0,1,76,0.1607421875
2.0,26.0,2.0,0.384005871450427,1.0,0,76,0.1041015625
1.0,13.0,2.0,0.433251454800484,0.0,0,74,0.15
2.0,21.0,2.0,0.511888031945091,1.0,0,76,0.1294921875
4.0,65.0,2.0,0.657077117515655,1.0,1,76,0.237890625
3.0,70.0,2.0,0.46749244797229,1.0,1,75,0.22421875
4.0,67.0,2.0,0.361224456082709,1.0,0,76,0.167578125
2.0,22.0,2.0,0.30931420467914,1.0,0,76,0.120703125
2.0,6.0,1.0,0.611968493201857,1.0,0,76,0.09921875
3.0,53.0,1.0,1.12455500876968,1.0,0,74,0.2486328125
2.0,33.0,2.0,0.715068116284783,1.0,0,76,0.16953125
2.0,4.0,1.0,1.30189356752817,1.0,0,76,0.1783203125
1.0,16.0,1.0,0.494690079488464,1.0,0,74,0.159765625
1.0,27.0,2.0,0.504438390824362,1.0,0,74,0.1822265625
4.0,62.0,2.0,0.727854383062549,1.0,0,76,0.1939453125
1.0,36.0,2.0,1.54479456642093,1.0,1,75,0.1548828125
1.0,20.0,2.0,0.366050176018689,1.0,0,74,0.1373046875
4.0,46.0,1.0,0.413655126945741,1.0,0,76,0.16171875
2.0,10.0,1.0,0.416145430344841,1.0,1,76,0.21640625
2.0,5.0,1.0,0.477253323216246,1.0,1,76,0.1763671875
3.0,54.0,1.0,0.448154827153303,1.0,0,74,0.1666015625
1.0,31.0,2.0,0.185525454974595,1.0,0,74,0.09921875
3.0,59.0,2.0,0.746315378969484,1.0,1,75,0.09921875
1.0,24.0,2.0,0.700158158454542,1.0,1,75,0.15390625
4.0,60.0,2.0,0.506330570103273,1.0,1,76,0.194921875
1.0,18.0,1.0,0.416942158753045,1.0,1,75,0.214453125
4.0,38.0,2.0,0.335098277127145,0.0,0,76,0.09921875
4.0,71.0,2.0,1.15259645225069,1.0,0,76,0.230078125
3.0,39.0,1.0,0.740467260446167,1.0,0,74,0.136328125
3.0,43.0,1.0,0.648516573162851,1.0,0,74,0.1060546875
,,,,,1,76,0.245703125
