condition,response_time,response_corr,n200lat
1,0.351817086,1,0.248632813
2,0.396259105,1,0.199804688
4,0.462630568,1,0.09921875
2,0.372866197,1,0.108007813
1,0.218711566,1,0.237890625
1,0.25018999,1,0.225195313
3,0.6192336,0,0.09921875
4,0.846916538,1,0.151953125
4,0.395547681,1,0.09921875
1,0.516202188,1,0.125585938
1,0.389493578,1,0.248632813
4,1.116753724,1,0.248632813
4,0.460146137,1,0.171484375
3,0.484505479,1,0.248632813
1,0.256944428,1,0.229101563
4,1.063443476,1,0.240820313
2,0.644712001,0,0.24765625
3,0.283321506,1,0.214453125
2,0.611703847,1,0.248632813
3,0.324018289,1,0.240820313
1,0.280939664,1,0.100195313
2,0.352643369,1,0.113867188
4,0.456580491,1,0.248632813
2,0.368189223,1,0.236914063
1,0.241097228,1,0.115820313
3,0.396520708,1,0.248632813
4,0.372250499,0,0.228125
1,0.282861213,1,0.175390625
3,0.837623738,0,0.09921875
2,0.859205951,1,0.184179688
1,0.951638703,1,0.248632813
2,0.206690388,1,0.09921875
2,0.312923427,1,0.248632813
3,0.387441115,1,0.09921875
3,0.208461039,1,0.215429688
4,0.365992218,1,0.2125
4,0.795903617,0,0.248632813
1,0.415991096,1,0.248632813
1,0.287873868,1,0.237890625
4,0.480515097,1,0.170507813
1,0.402608756,1,0.179296875
2,0.262748763,1,0.11875
3,0.463647428,1,0.248632813
4,0.431217513,1,0.248632813
3,0.330932929,1,0.1890625
3,0.307337312,1,0.245703125
4,0.453079125,1,0.09921875
3,0.322875539,1,0.228125
1,0.332083222,1,0.248632813
3,0.227808863,1,0.09921875
4,0.225711308,1,0.100195313
3,0.413221075,1,0.09921875
1,0.218601136,1,0.113867188
3,0.305549256,1,0.248632813
2,0.456784515,1,0.23984375
3,0.257073334,1,0.106054688
1,0.140771078,1,0.24375
4,0.346139106,1,0.09921875
4,0.393686419,1,0.09921875
4,0.880493771,1,0.09921875
1,0.137487425,1,0.237890625
2,0.318021324,1,0.09921875
2,0.455774512,1,0.234960938
1,0.481928501,1,0.09921875
3,0.222096978,1,0.121679688
2,0.30012069,1,0.1265625
3,0.360884088,1,0.09921875
1,0.220046472,1,0.233007813
4,0.495017897,1,0.19296875
3,0.304843024,1,0.24765625
1,0.230734786,1,0.09921875
1,0.184621985,1,0.09921875
4,0.499464001,1,0.101171875
2,0.485898131,1,0.248632813
2,0.449644529,1,0.240820313
4,0.524562199,0,0.219335938
4,0.51314893,1,0.248632813
1,0.378071048,1,0.12265625
4,0.554848592,1,0.244726563
2,0.395446698,1,0.16953125
1,0.443518129,1,0.176367188
3,0.970775098,1,0.160742188
3,0.352308366,1,0.236914063
3,0.163781849,1,0.22421875
2,0.42884133,1,0.248632813
4,0.455821233,1,0.133398438
2,0.400728603,1,0.176367188
2,0.40953808,1,0.248632813
3,0.410527229,1,0.241796875
4,0.380280021,1,0.248632813
1,0.387173981,1,0.234960938
3,0.376151364,1,0.213476563
1,0.235506179,1,0.20078125
1,0.292066234,1,0.233007813
2,0.230965267,1,0.16953125
2,0.630228511,1,0.198828125
2,0.253830397,1,0.248632813
4,0.413362933,1,0.199804688
1,0.268614031,1,0.106054688
1,0.220769172,1,0.10703125
2,0.313489207,1,0.248632813
3,0.596246921,1,0.09921875
3,0.463535687,1,0.23203125
4,0.46380905,1,0.248632813
3,0.26981004,1,0.09921875
3,1.029241987,1,0.248632813
2,0.387013421,1,0.248632813
1,0.284765639,1,0.09921875
2,0.815567841,1,0.245703125
4,0.707297836,1,0.221289063
2,1.083510946,1,0.223242188
3,0.314066043,1,0.139257813
1,0.455028135,1,0.248632813
2,0.550744564,1,0.227148438
3,0.439039428,1,0.248632813
4,0.492493348,1,0.102148438
3,0.384530172,1,0.231054688
2,0.263556506,1,0.115820313
4,0.428081117,1,0.2046875
2,0.564001042,1,0.217382813
2,0.412161871,1,0.222265625
2,0.452839399,1,0.159765625
1,0.480503496,1,0.2125
2,0.401119092,1,0.150976563
3,0.248935583,1,0.207617188
1,0.286610772,1,0.234960938
4,0.552980501,1,0.17734375
1,0.345378568,1,0.245703125
2,0.489660412,1,0.09921875
1,0.229837714,1,0.203710938
2,0.505012215,1,0.242773438
3,0.294256284,1,0.248632813
1,0.418194378,1,0.10703125
4,0.451595387,1,0.248632813
3,0.500299121,1,0.113867188
1,0.250024138,1,0.248632813
4,0.361777117,1,0.184179688
3,0.336503583,1,0.124609375
4,0.30269063,1,0.248632813
3,0.386357834,1,0.108984375
4,0.367946325,1,0.2203125
4,0.678452424,1,0.242773438
4,0.66968249,0,0.248632813
2,0.512212623,1,0.228125
1,0.324309469,1,0.15
2,0.292405123,1,0.248632813
2,0.303409863,1,0.124609375
2,0.371701583,1,0.119726563
4,0.486272475,1,0.1265625
3,0.526179421,1,0.09921875
2,0.22292377,1,0.248632813
2,0.316820279,1,0.223242188
2,0.574417943,1,0.248632813
1,0.270873641,1,0.119726563
2,0.272855596,1,0.2359375
4,0.5516361,0,0.187109375
2,0.547342542,1,0.238867188
1,0.284621557,1,0.18515625
3,0.437689947,1,0.240820313
4,0.463301396,1,0.211523438
1,0.185601978,1,0.241796875
4,0.300459484,1,0.127539063
1,0.242805839,1,0.242773438
2,0.22925627,1,0.219335938
1,0.307906234,1,0.248632813
4,0.248931712,1,0.219335938
4,0.41139304,1,0.115820313
2,0.74457555,1,0.160742188
1,0.210654107,1,0.24375
3,0.340323871,1,0.248632813
4,0.365558406,1,0.248632813
3,0.300813452,1,0.205664063
1,0.216398127,1,0.240820313
3,0.341743139,1,0.14609375
2,0.445536192,1,0.117773438
4,0.688977102,1,0.248632813
3,0.475759473,1,0.2125
4,0.559374069,1,0.108984375
2,0.313897738,1,0.221289063
2,0.224059686,1,0.108007813
3,0.263034629,1,0.112890625
4,0.635579571,0,0.209570313
2,0.356184345,1,0.165625
4,0.383859963,1,0.244726563
3,0.39629373,1,0.09921875
2,0.386676799,1,0.213476563
3,0.289465111,1,0.121679688
1,0.309588085,1,0.23203125
3,0.490675172,1,0.206640625
3,0.247614142,1,0.18125
4,0.32767233,1,0.156835938
1,0.298833652,1,0.215429688
2,0.147753467,0,0.1109375
4,0.307601172,1,0.245703125
2,0.354057875,1,0.248632813
4,0.270334462,1,0.135351563
4,0.217643713,1,0.152929688
3,0.315878894,1,0.234960938
4,1.150596598,1,0.248632813
4,0.474423914,1,0.233984375
2,0.527397839,1,0.248632813
1,0.42346936,1,0.215429688
3,0.176480251,1,0.227148438
3,0.205265752,1,0.159765625
1,0.494120103,1,0.101171875
2,0.523874127,1,0.09921875
2,0.551777383,1,0.248632813
1,0.405990842,1,0.129492188
2,0.284584621,1,0.233984375
4,0.427424468,1,0.140234375
3,0.696603499,1,0.119726563
3,1.62334343,1,0.248632813
2,0.502136544,1,0.233984375
4,0.716470008,1,0.248632813
4,0.302828723,1,0.229101563
4,0.387532599,1,0.234960938
2,0.258342889,0,0.248632813
3,0.374735781,1,0.18125
1,0.210566128,1,0.108984375
2,0.238786473,1,0.238867188
4,0.593354658,1,0.1734375
3,0.457206071,1,0.209570313
1,0.323298923,1,0.184179688
3,0.294338403,1,0.11484375
4,0.345401258,1,0.09921875
1,0.287477003,1,0.106054688
1,0.276443979,1,0.218359375
1,0.221490378,1,0.20078125
3,0.311753382,1,0.228125
2,0.578972614,1,0.121679688
1,0.213222673,1,0.248632813
1,0.343576685,1,0.248632813
1,0.530196578,1,0.248632813
3,0.52975992,1,0.162695313
3,0.526961154,1,0.248632813
4,0.553971826,1,0.09921875
2,0.587677534,1,0.140234375
1,0.480021548,1,0.230078125
1,0.309771773,1,0.14609375
3,0.366682678,1,0.233007813
1,0.247187356,1,0.09921875
4,0.801674153,1,0.134375
4,1.008230996,1,0.231054688
4,0.421945016,1,0.248632813
1,0.348290194,1,0.1421875
3,0.673521152,1,0.101171875
1,0.310365502,1,0.121679688
2,0.410830838,1,0.11484375
4,0.406980242,1,0.203710938
3,0.704126808,1,0.213476563
3,0.302240139,1,0.123632813
2,0.940998976,1,0.109960938
2,0.428698007,1,0.248632813
1,0.321147808,1,0.159765625
1,0.211867813,1,0.1734375
2,0.263950766,1,0.09921875
3,0.490114356,0,0.196875
2,0.568563471,1,0.226171875
1,0.366644536,1,0.100195313
3,0.359211818,1,0.09921875
1,0.246281653,1,0.248632813
3,0.249836855,1,0.136328125
4,0.486640269,1,0.137304688
3,0.288410892,1,0.218359375
4,0.608736913,1,0.248632813
1,0.367536644,1,0.166601563
1,0.345253016,1,0.134375
2,0.562341093,1,0.178320313
4,0.46812123,1,0.213476563
3,0.314259038,1,0.248632813
1,0.203935575,1,0.1578125
2,0.379867676,1,0.248632813
4,0.63593506,1,0.248632813
3,0.550369346,1,0.108984375
3,0.665402589,1,0.248632813
4,0.441349386,1,0.13046875
2,0.576152101,1,0.248632813
1,0.320198727,1,0.248632813
3,0.668374551,0,0.248632813
1,0.172721214,1,0.108007813
4,0.349045424,1,0.09921875
3,0.33490637,1,0.108007813
1,0.265803591,1,0.139257813
2,0.430619606,1,0.248632813
2,0.301824861,1,0.09921875
3,0.269920739,1,0.230078125
4,0.825217381,1,0.188085938
4,0.297269202,1,0.108007813
